id,ISO,Start Year,Start Month,Start Day,End Year,End Month,End Day,Admin Units,Entry Date,Last Update
2000-0002-AGO,AGO,2000,1,8,2000,1,15,"[{""adm2_code"":4214,""adm2_name"":""Baia Farta""},{""adm2_code"":4291,""adm2_name"":""Cambambe""}]",2/3/05,9/25/23
2000-0012-MOZ,MOZ,2000,1,26,2000,3,27,"[{""adm1_code"":2114,""adm1_name"":""Inhambane""},{""adm1_code"":2115,""adm1_name"":""Manica""},{""adm1_code"":2120,""adm1_name"":""Sofala""},{""adm1_code"":2121,""adm1_name"":""Tete""},{""adm2_code"":21850,""adm2_name"":""Chibuto""},{""adm2_code"":21853,""adm2_name"":""Chokwe""},{""adm2_code"":21855,""adm2_name"":""Mabalane""},{""adm2_code"":21883,""adm2_name"":""Magude""},{""adm2_code"":21885,""adm2_name"":""Marracuene""},{""adm2_code"":21886,""adm2_name"":""Matutuine""},{""adm2_code"":41375,""adm2_name"":""Manhica""},{""adm2_code"":41376,""adm2_name"":""Manhica""}]",9/16/05,9/25/23
2000-0019-BRA,BRA,2000,1,1,2000,1,6,"[{""adm2_code"":8467,""adm2_name"":""Pirangucu""},{""adm2_code"":8555,""adm2_name"":""Santa Rita Do Sapucai""},{""adm2_code"":9902,""adm2_name"":""Barra Mansa""},{""adm2_code"":9956,""adm2_name"":""Resende""},{""adm2_code"":9961,""adm2_name"":""Rio De Janeiro""},{""adm2_code"":9985,""adm2_name"":""Volta Redonda""},{""adm2_code"":11089,""adm2_name"":""Campos Do Jordao""},{""adm2_code"":11543,""adm2_name"":""Sao Paulo""}]",7/8/05,9/25/23
2000-0038-PHL,PHL,2000,1,28,2000,2,1,"[{""adm2_code"":24275,""adm2_name"":""Agusan Del Norte""},{""adm2_code"":24276,""adm2_name"":""Agusan Del Sur""},{""adm2_code"":24278,""adm2_name"":""Surigao Del Sur""},{""adm2_code"":24266,""adm2_name"":""Compostela""},{""adm2_code"":24267,""adm2_name"":""Davao del Norte""},{""adm2_code"":24269,""adm2_name"":""Davao Oriental""}]",10/27/04,9/25/23
2000-0043-ZAF,ZAF,2000,1,26,2000,3,27,"[{""adm1_code"":2708,""adm1_name"":""Gauteng""},{""adm1_code"":77311,""adm1_name"":""KwaZulu-Natal""},{""adm1_code"":77313,""adm1_name"":""Mpumalanga""}]",9/16/05,9/25/23
2000-0048-BWA,BWA,2000,2,,2000,2,,"[{""adm1_code"":654,""adm1_name"":""Central""},{""adm1_code"":657,""adm1_name"":""Kgalagadi""},{""adm1_code"":658,""adm1_name"":""Kgatleng""},{""adm1_code"":659,""adm1_name"":""Kweneng""},{""adm1_code"":661,""adm1_name"":""North East""},{""adm1_code"":662,""adm1_name"":""South-East""}]",7/1/03,9/25/23
2000-0079-NAM,NAM,2000,2,,2000,2,,"[{""adm2_code"":22261,""adm2_name"":""Mariental Rural""},{""adm2_code"":22262,""adm2_name"":""Mariental Urban""}]",7/1/03,9/25/23
2000-0080-USA,USA,2000,2,18,2000,2,22,"[{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3249,""adm1_name"":""Ohio""}]",9/16/05,9/25/23
2000-0083-ZWE,ZWE,2000,1,26,2000,3,27,"[{""adm1_code"":3444,""adm1_name"":""Midlands""},{""adm2_code"":33054,""adm2_name"":""Chimanimani""},{""adm2_code"":61704,""adm2_name"":""Mutare""},{""adm2_code"":33082,""adm2_name"":""Chiredzi""},{""adm2_code"":33099,""adm2_name"":""Matobo""}]",9/17/06,9/25/23
2000-0096-SWZ,SWZ,2000,1,,2000,1,,"[{""adm1_code"":2782,""adm1_name"":""Hhohho""},{""adm1_code"":2783,""adm1_name"":""Lubombo""},{""adm1_code"":2784,""adm1_name"":""Manzini""},{""adm1_code"":2785,""adm1_name"":""Shiselweni""}]",7/1/03,9/25/23
2000-0098-COL,COL,2000,2,,2000,2,,"[{""adm1_code"":961,""adm1_name"":""Santander""},{""adm1_code"":963,""adm1_name"":""Tolima""},{""adm1_code"":964,""adm1_name"":""Valle Del Cauca""}]",7/1/03,9/25/23
2000-0103-ZMB,ZMB,2000,3,3,2000,3,4,"[{""adm2_code"":65206,""adm2_name"":""Kafue""}]",10/27/04,9/25/23
2000-0116-ARG,ARG,2000,3,9,2000,3,17,"[{""adm1_code"":431,""adm1_name"":""Catamarca""},{""adm1_code"":434,""adm1_name"":""Cordoba""},{""adm1_code"":438,""adm1_name"":""Jujuy""},{""adm1_code"":440,""adm1_name"":""La Rioja""},{""adm1_code"":445,""adm1_name"":""Salta""},{""adm1_code"":450,""adm1_name"":""Santiago Del Estero""},{""adm1_code"":452,""adm1_name"":""Tucuman""}]",9/16/05,9/25/23
2000-0118-MWI,MWI,2000,3,,2000,3,,"[{""adm2_code"":19312,""adm2_name"":""Nkhotakota""},{""adm2_code"":19317,""adm2_name"":""Karonga""},{""adm2_code"":19322,""adm2_name"":""Chikwawa""},{""adm2_code"":19328,""adm2_name"":""Nsanje""}]",7/1/03,9/25/23
2000-0129-PER,PER,2000,3,16,2000,3,16,"[{""adm2_code"":24086,""adm2_name"":""Angaraes""}]",2/3/05,9/25/23
2000-0130-BOL,BOL,2000,3,13,2000,3,15,"[{""adm1_code"":40444,""adm1_name"":""Chuquisaca""},{""adm2_code"":40531,""adm2_name"":""Ñuflo De Chavez""},{""adm2_code"":40532,""adm2_name"":""Obispo Santisteban""},{""adm2_code"":40536,""adm2_name"":""Arce""},{""adm2_code"":40537,""adm2_name"":""Avilez""},{""adm2_code"":40539,""adm2_name"":""Gran Chaco""}]",2/9/05,9/25/23
2000-0152-AGO,AGO,2000,3,27,2000,3,27,"[{""adm2_code"":4208,""adm2_name"":""Dande""}]",7/1/03,9/25/23
2000-0167-CZE,CZE,2000,3,8,2000,3,13,"[{""adm1_code"":1030,""adm1_name"":""Jihocesky""},{""adm1_code"":1032,""adm1_name"":""Praha""},{""adm1_code"":1033,""adm1_name"":""Severocesky""},{""adm1_code"":1035,""adm1_name"":""Stredocesky""},{""adm1_code"":1037,""adm1_name"":""Zapadocesky""}]",4/17/07,9/25/23
2000-0167-ROU,ROU,2000,3,,2000,3,,"[{""adm1_code"":2451,""adm1_name"":""Bistrita-nasaud""},{""adm1_code"":2459,""adm1_name"":""Cluj""},{""adm1_code"":2468,""adm1_name"":""Hunedoara""},{""adm1_code"":2471,""adm1_name"":""Maramures""},{""adm1_code"":2473,""adm1_name"":""Mures""}]",4/17/07,9/25/23
2000-0179-RUS,RUS,2000,3,,2000,3,,"[{""adm1_code"":2524,""adm1_name"":""Krasnodarskiy Kray""}]",7/1/03,9/25/23
2000-0187-ROU,ROU,2000,4,5,2000,4,25,"[{""adm1_code"":2446,""adm1_name"":""Alba""},{""adm1_code"":2447,""adm1_name"":""Arad""},{""adm1_code"":2450,""adm1_name"":""Bihor""},{""adm1_code"":2451,""adm1_name"":""Bistrita-nasaud""},{""adm1_code"":2452,""adm1_name"":""Botosani""},{""adm1_code"":2454,""adm1_name"":""Brasov""},{""adm1_code"":2458,""adm1_name"":""Caras-severin""},{""adm1_code"":2459,""adm1_name"":""Cluj""},{""adm1_code"":2467,""adm1_name"":""Harghita""},{""adm1_code"":2468,""adm1_name"":""Hunedoara""},{""adm1_code"":2471,""adm1_name"":""Maramures""},{""adm1_code"":2473,""adm1_name"":""Mures""},{""adm1_code"":2475,""adm1_name"":""Olt""},{""adm1_code"":2477,""adm1_name"":""Salaj""},{""adm1_code"":2478,""adm1_name"":""Satu Mare""},{""adm1_code"":2482,""adm1_name"":""Timis""}]",9/16/05,9/25/23
2000-0191-HUN,HUN,2000,4,6,2000,5,1,"[{""adm1_code"":1443,""adm1_name"":""Borsod-abauj-zemplen""},{""adm1_code"":1450,""adm1_name"":""Jasz-nagykun-szolnok""},{""adm1_code"":1455,""adm1_name"":""Szabolcs-szatmar-bereg""}]",12/12/05,9/25/23
2000-0193-AGO,AGO,2000,4,10,2000,4,10,"[{""adm2_code"":4251,""adm2_name"":""Porto Amboim""}]",7/1/03,9/25/23
2000-0196-SCG,SCG,2000,4,5,2000,4,25,"[{""adm1_code"":25394,""adm1_name"":""Srednje-banatski""}]",9/16/05,9/25/23
2000-0200-CHN,CHN,2000,4,13,2000,4,17,"[{""adm2_code"":13030,""adm2_name"":""Shenzhen""},{""adm2_code"":13031,""adm2_name"":""Zhuhai""},{""adm2_code"":13045,""adm2_name"":""Zhongshan""}]",10/27/04,9/25/23
2000-0202-RUS,RUS,2000,4,14,2000,4,14,"[{""adm1_code"":2499,""adm1_name"":""Chelyabinskaya Oblast""}]",7/1/03,9/25/23
2000-0232-USA,USA,2000,5,6,2000,5,9,"[{""adm2_code"":30196,""adm2_name"":""Franklin""},{""adm2_code"":30210,""adm2_name"":""Jefferson""}]",9/16/05,9/25/23
2000-0235-KAZ,KAZ,2000,4,,2000,4,,"[{""adm2_code"":37238,""adm2_name"":""Denisovskiy""},{""adm2_code"":37245,""adm2_name"":""Qostanay""},{""adm2_code"":37247,""adm2_name"":""Taran""},{""adm2_code"":37250,""adm2_name"":""Zhitikara""}]",7/1/03,9/25/23
2000-0248-GBR,GBR,2000,4,27,2000,4,27,"[{""adm2_code"":40171,""adm2_name"":""Grampian""},{""adm2_code"":40173,""adm2_name"":""Lothian""}]",7/1/03,9/25/23
2000-0255-ARG,ARG,2000,5,15,2000,5,15,"[{""adm1_code"":430,""adm1_name"":""Buenos Aires D.f.""},{""adm1_code"":434,""adm1_name"":""Cordoba""},{""adm1_code"":439,""adm1_name"":""La Pampa""},{""adm2_code"":4386,""adm2_name"":""Avellaneda""},{""adm2_code"":4395,""adm2_name"":""Berisso""},{""adm2_code"":4445,""adm2_name"":""Lanus""},{""adm2_code"":4477,""adm2_name"":""Quilmes""},{""adm2_code"":82738,""adm2_name"":""San Miguel""},{""adm2_code"":190525,""adm2_name"":""San  Fernando""},{""adm2_code"":4631,""adm2_name"":""Parana""},{""adm2_code"":4836,""adm2_name"":""Rosario""}]",7/1/03,9/25/23
2000-0258-IDN,IDN,2000,5,16,2000,5,24,"[{""adm2_code"":18150,""adm2_name"":""Belu""}]",2/9/05,9/25/23
2000-0259-SOM,SOM,2000,5,1,2000,5,1,"[{""adm1_code"":2695,""adm1_name"":""Hiraan""},{""adm1_code"":2697,""adm1_name"":""Shabelle Hoose""},{""adm2_code"":25689,""adm2_name"":""Jamaame""},{""adm2_code"":25698,""adm2_name"":""Bu'aale""},{""adm2_code"":25699,""adm2_name"":""Jilib""},{""adm2_code"":25702,""adm2_name"":""Balcad""},{""adm2_code"":25704,""adm2_name"":""Jowhar""}]",10/26/04,9/25/23
2000-0260-AGO,AGO,2000,5,3,2000,5,3,"[{""adm2_code"":4221,""adm2_name"":""Ganda""}]",7/1/03,9/25/23
2000-0265-COL,COL,2000,5,18,2000,5,24,"[{""adm1_code"":934,""adm1_name"":""Amazonas""},{""adm1_code"":935,""adm1_name"":""Antioquia""},{""adm1_code"":946,""adm1_name"":""Choco""},{""adm1_code"":948,""adm1_name"":""Cundinamarca""},{""adm1_code"":955,""adm1_name"":""Narino""},{""adm1_code"":957,""adm1_name"":""Putumayo""},{""adm1_code"":961,""adm1_name"":""Santander""},{""adm1_code"":963,""adm1_name"":""Tolima""},{""adm1_code"":964,""adm1_name"":""Valle Del Cauca""}]",2/9/05,9/25/23
2000-0266-ECU,ECU,2000,5,22,2000,5,22,"[{""adm1_code"":1138,""adm1_name"":""Carchi""},{""adm1_code"":1145,""adm1_name"":""Imbabura""}]",7/1/03,9/25/23
2000-0271-USA,USA,2000,5,6,2000,5,9,"[{""adm1_code"":3250,""adm1_name"":""Oklahoma""}]",9/16/05,9/25/23
2000-0275-URY,URY,2000,5,16,2000,5,16,"[{""adm1_code"":3265,""adm1_name"":""Artigas""},{""adm1_code"":3266,""adm1_name"":""Canelones""},{""adm1_code"":3267,""adm1_name"":""Cerro Largo""},{""adm1_code"":3268,""adm1_name"":""Colonia""},{""adm1_code"":3269,""adm1_name"":""Durazno""},{""adm1_code"":3270,""adm1_name"":""Flores""},{""adm1_code"":3271,""adm1_name"":""Florida""},{""adm1_code"":3272,""adm1_name"":""Lavalleja""},{""adm1_code"":3273,""adm1_name"":""Maldonado""},{""adm1_code"":3274,""adm1_name"":""Montevideo""},{""adm1_code"":3275,""adm1_name"":""Paysandu""},{""adm1_code"":3276,""adm1_name"":""Rio Negro""},{""adm1_code"":3277,""adm1_name"":""Rivera""},{""adm1_code"":3278,""adm1_name"":""Rocha""},{""adm1_code"":3279,""adm1_name"":""Salto""},{""adm1_code"":3280,""adm1_name"":""San Jose""},{""adm1_code"":3281,""adm1_name"":""Soriano""},{""adm1_code"":3282,""adm1_name"":""Tacuarembo""},{""adm1_code"":3283,""adm1_name"":""Treinta Y Tres""}]",7/1/03,9/25/23
2000-0276-MEX,MEX,2000,5,13,2000,5,13,"[{""adm1_code"":2032,""adm1_name"":""Chiapas""},{""adm1_code"":2036,""adm1_name"":""Distrito Federal""},{""adm1_code"":2054,""adm1_name"":""Tabasco""},{""adm1_code"":2057,""adm1_name"":""Veracruz""},{""adm1_code"":2059,""adm1_name"":""Zacatecas""}]",7/1/03,9/25/23
2000-0278-RUS,RUS,2000,5,13,2000,5,13,"[{""adm1_code"":2488,""adm1_name"":""Aginskiy Buryatskiy A. Okrug""},{""adm1_code"":2489,""adm1_name"":""Altay Rep.""},{""adm1_code"":2490,""adm1_name"":""Altayskiy Kray""},{""adm1_code"":2497,""adm1_name"":""Buryatiya Rep.""},{""adm1_code"":2500,""adm1_name"":""Chitinskaya Oblast""},{""adm1_code"":2506,""adm1_name"":""Irkutskaya Oblast""},{""adm1_code"":2515,""adm1_name"":""Kemerovskaya Oblast""},{""adm1_code"":2517,""adm1_name"":""Khakasiya Rep.""},{""adm1_code"":2525,""adm1_name"":""Krasnoyarskiy Kray""},{""adm1_code"":2541,""adm1_name"":""Novosibirskaya Oblast""},{""adm1_code"":2542,""adm1_name"":""Omskaya Oblast""},{""adm1_code"":2563,""adm1_name"":""Tomskaya Oblast""},{""adm1_code"":2567,""adm1_name"":""Tyva Rep.""},{""adm1_code"":2570,""adm1_name"":""Ustordynskiy Buryatskiy Okrug""}]",7/1/03,9/25/23
2000-0281-TUR,TUR,2000,5,27,2000,5,27,"[{""adm1_code"":3089,""adm1_name"":""Tokat""},{""adm2_code"":28221,""adm2_name"":""Carsamba""},{""adm2_code"":28226,""adm2_name"":""Salipazari""}]",10/25/04,9/25/23
2000-0296-USA,USA,2000,5,19,2000,5,19,"[{""adm2_code"":31345,""adm2_name"":""Liberty""}]",7/1/03,9/25/23
2000-0297-USA,USA,2000,5,23,2000,5,23,"[{""adm2_code"":30196,""adm2_name"":""Franklin""},{""adm2_code"":30197,""adm2_name"":""Gasconade""},{""adm2_code"":30210,""adm2_name"":""Jefferson""}]",7/1/03,9/25/23
2000-0299-GTM,GTM,2000,6,6,2000,6,21,"[{""adm1_code"":64825,""adm1_name"":""Escuintla""},{""adm1_code"":64828,""adm1_name"":""Totonicapán""},{""adm1_code"":64833,""adm1_name"":""Huehuetenango""},{""adm1_code"":64834,""adm1_name"":""Quiché""},{""adm1_code"":64836,""adm1_name"":""Alta Verapaz""},{""adm1_code"":64839,""adm1_name"":""Zacapa""},{""adm1_code"":64841,""adm1_name"":""Jalapa""},{""adm2_code"":64843,""adm2_name"":""Guatemala""}]",9/16/05,9/25/23
2000-0302-CHN,CHN,2000,5,31,2000,6,19,"[{""adm2_code"":13023,""adm2_name"":""Longnan""},{""adm2_code"":13071,""adm2_name"":""Qiannan Buyei and Miao""},{""adm2_code"":13258,""adm2_name"":""Luzhou""}]",2/23/06,9/25/23
2000-0310-CHL,CHL,2000,6,5,2000,6,16,"[{""adm2_code"":12935,""adm2_name"":""Cautin""},{""adm2_code"":149633,""adm2_name"":""Valdivia""}]",9/15/05,9/25/23
2000-0317-MEX,MEX,2000,5,30,2000,5,30,"[{""adm2_code"":20226,""adm2_name"":""Chalco""}]",7/1/03,9/25/23
2000-0330-CHN,CHN,2000,6,1,2000,6,1,"[{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""}]",7/1/03,9/25/23
2000-0331-GBR,GBR,2000,6,,2000,6,,"[{""adm2_code"":40138,""adm2_name"":""West Yorkshire""}]",7/1/03,9/25/23
2000-0332-IND,IND,2000,6,10,2000,6,10,"[{""adm2_code"":17582,""adm2_name"":""Golaghat""},{""adm2_code"":17589,""adm2_name"":""Nagaon""},{""adm2_code"":70041,""adm2_name"":""Administrative unit not available""},{""adm2_code"":70051,""adm2_name"":""Administrative unit not available""},{""adm2_code"":70054,""adm2_name"":""Administrative unit not available""},{""adm2_code"":17571,""adm2_name"":""East Siang""},{""adm2_code"":17572,""adm2_name"":""Lohit""},{""adm2_code"":17575,""adm2_name"":""West Siang""}]",9/15/05,9/25/23
2000-0333-MEX,MEX,2000,6,10,2000,6,14,"[{""adm2_code"":20573,""adm2_name"":""Dist. Tuxtepec""}]",4/24/05,9/25/23
2000-0345-NIC,NIC,2000,6,,2000,6,,"[{""adm2_code"":22403,""adm2_name"":""El  Rama""}]",7/1/03,9/25/23
